"State","Score","num","denom"
"MA_Bristol",0,0,3
"KS_Grant",0,0,4
"IL_Cook",0,0,1
"ID_Washington",0,0,5
"ID_Twin Falls",0,0,3
"ID_Power",0,0,2
"ID_Payette",0,0,2
"ID_Owyhee",0,0,3
"ID_Minidoka",0,0,2
"ID_Madison",0,0,2
"ID_Jerome",0,0,3
"ID_Jefferson",0,0,4
"ID_Gooding",0,0,2
"ID_Fremont",0,0,2
"ID_Elmore",0,0,5
"ID_Cassia",0,0,2
"ID_Caribou",0,0,4
"ID_Butte",0,0,3
"ID_Bonneville",0,0,5
"ID_Bingham",0,0,4
"ID_Ada",0,0,3
"GA_Washington",0,0,6
"GA_Upson",0,0,6
"GA_Jefferson",0,0,9
"FL_Putnam",0,0,5
"FL_Levy",0,0,1
"FL_Gilchrist",0,0,2
"FL_Alachua",0,0,1
"DE_Sussex",0,0,3
"DE_Kent",0,0,2
"CT_New Haven",0,0,2
"CO_Pueblo",0,0,1
"CO_Otero",0,0,3
"CO_Costilla",0,0,1
"CA_Yuba",0,0,5
"CA_Yolo",0,0,6
"CA_Ventura",0,0,4
"CA_Tulare",0,0,4
"CA_Tehama",0,0,5
"CA_Sutter",0,0,5
"CA_Stanislaus",0,0,6
"CA_Sonoma",0,0,7
"CA_Solano",0,0,5
"CA_Siskiyou",0,0,3
"CA_Shasta",0,0,5
"CA_Santa Clara",0,0,6
"CA_Santa Barbara",0,0,2
"CA_San Mateo",0,0,1
"CA_San Luis Obispo",0,0,9
"CA_San Joaquin",0,0,6
"CA_San Diego",0,0,2
"CA_San Benito",0,0,8
"CA_Sacramento",0,0,5
"CA_Placer",0,0,6
"CA_Orange",0,0,2
"CA_Nevada",0,0,6
"CA_Napa",0,0,9
"CA_Monterey",0,0,5
"CA_Modoc",0,0,3
"CA_Merced",0,0,5
"CA_Mendocino",0,0,8
"CA_Marin",0,0,6
"CA_Madera",0,0,4
"CA_Los Angeles",0,0,7
"CA_Kings",0,0,4
"CA_Kern",0,0,5
"CA_Imperial",0,0,3
"CA_Glenn",0,0,5
"CA_Fresno",0,0,5
"CA_El Dorado",0,0,5
"CA_Contra Costa",0,0,8
"CA_Colusa",0,0,6
